mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3
2009.78,18.41,4.62,37609078,1439804,1290871,245.31104023042883,54344.52589081989
2004.34,18.41,4.62,37610655,1439564,1300419,244.86956183674704,54246.72379445626
2009.78,18.43,4.62,37610655,1439767,1294657,245.29421390213264,54340.798301417955
2004.34,18.45,4.62,37610655,1439691,1302185,244.8359720477434,54239.28254290696
2004.34,18.47,4.62,37621492,1439573,1304047,244.81918060874415,54235.56268264065
2004.34,18.47,4.64,37621492,1439800,1294970,244.81918060874415,54235.56268264065
2009.78,18.47,4.64,37628021,1439685,1305578,245.26056816948028,54333.344656496294
2004.34,18.53,4.64,37633199,1439751,1305578,244.76882010807043,54224.406162615436
2004.34,18.56,4.64,37634687,1439751,1305578,244.7436476264851,54218.82962363878
2009.78,18.59,4.64,37637956,1439681,1308538,245.15968632886765,54310.99598521783
2009.78,18.61,4.64,37640774,1439764,1301930,245.14288075673105,54307.27299399318
2004.34,18.63,4.64,37646573,1439717,1311046,244.68493196628273,54205.82215885828
2009.78,18.63,4.64,37648976,1439779,1311794,245.12607748846338,54303.55051315186
2009.78,18.67,4.65,37649153,1439779,1310224,245.09247786164016,54296.107082199465
2004.34,18.69,4.65,37652622,1439734,1312593,244.6346266759936,54194.67786976312
2004.34,18.71,4.65,37655991,1439802,1313868,244.61786284219136,54190.964124962884
2004.34,18.73,4.65,37655991,1439864,1314568,244.60110130574878,54187.25088910397
2004.34,18.75,4.65,37665280,1439864,1314568,244.5843420661938,54183.53816208177
2004.34,18.78,4.65,37668377,1439982,1316974,244.55920751249263,54177.97002538852
2004.34,18.8,4.65,37668377,1439845,1317685,244.54245401309117,54174.25857000057
2004.34,18.82,4.65,37674615,1439845,1326081,244.5257028089255,54170.54762308344
