mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
1499.29,15.3,3.86,36969577,1451483,1174554,188.15461848399363,39768.415810483755,1.79608,379.62
1493.86,15.3,3.86,36969577,1451514,1174554,187.74794585528903,39682.461363405215,1.79608,379.62
1521.02,15.3,3.86,36969577,1451327,1174608,189.78205793551285,40112.39189428054,1.79608,379.62
1553.6,15.31,3.86,36969577,1450052,1174254,192.2154299729515,40626.71012779602,1.79608,379.62
1569.89,15.31,3.87,36968884,1450592,1176712,193.43540556488617,40884.56452972144,1.79608,379.62
1602.48,15.32,3.87,36968884,1450344,1177057,195.86931548700872,41398.99645070278,1.79608,379.62
1613.34,15.31,3.88,36973497,1449888,1177988,196.68942272078297,41572.33455818428,1.79608,379.62
1635.06,15.32,3.89,36976778,1449809,1177293,198.30918208838463,41914.687377172835,1.79608,379.62
1640.49,15.32,3.89,36984857,1450139,1179451,198.71582652194732,42000.63586491785,1.79608,379.62
1656.78,15.32,3.89,36987791,1450108,1179073,199.93575982263528,42258.48132815287,1.79608,379.62
1678.51,15.32,3.89,36982631,1449287,1181100,201.56308644166228,42602.43356364073,1.79608,379.62
1694.8,15.33,3.9,36985883,1449370,1183096,202.7759903808783,42858.79329895608,1.79608,379.62
1727.38,15.34,3.9,36991707,1449444,1183096,205.20865896070816,43372.96284946329,1.79608,379.62
1749.1,15.35,3.91,36991707,1448869,1183486,206.8279546016429,43715.21765504636,1.79608,379.62
1781.69,15.35,3.91,36986147,1448685,1183486,209.2683162976233,44231.01322485845,1.79608,379.62
1852.29,15.37,3.91,36986118,1448009,1186832,214.54002023916337,45345.242129076214,1.79608,379.62
1868.58,15.39,3.92,36996163,1448128,1187278,215.7447868533059,45599.88195695737,1.79608,379.62
1890.3,15.4,3.94,37011291,1448965,1190189,217.36343676192052,45942.00028036628,1.79608,379.62
1939.18,15.41,3.94,37018357,1449211,1190421,221.0153111525921,46713.86153163946,1.79608,379.62
1982.62,15.42,3.92,37033504,1449211,1190421,224.25968030006769,47399.59235418895,1.79608,379.62
2004.34,15.42,3.95,37045402,1449850,1193797,225.8856943659764,47743.26716806153,1.79608,379.62
2004.34,15.42,3.96,37044057,1449775,1194818,225.8856943659764,47743.26716806153,1.79608,379.62
2004.34,15.46,3.96,37060547,1450752,1195400,225.85438766220784,47736.65017389389,1.79608,379.62
2004.34,15.47,3.94,37060547,1451375,1196598,225.8465623421447,47734.99621193096,1.79608,379.62
2004.34,15.49,3.91,37071894,1451445,1196001,225.83091332867863,47731.688631816505,1.79608,379.62
2004.34,15.49,3.91,37071084,1451336,1195033,225.83091332867863,47731.688631816505,1.79608,379.62
2004.34,15.5,3.89,37073023,1451480,1195033,225.823089635163,47730.03501364114,1.79608,379.62
1998.91,15.51,3.89,37076427,1451623,1195113,225.40888970913872,47642.489594774874,1.79608,379.62
1998.91,15.53,3.86,37077916,1451659,1197228,225.3932731863655,47639.188881902846,1.79608,379.62
1998.91,15.53,3.86,37075513,1451640,1196484,225.3932731863655,47639.188881902846,1.79608,379.62
1993.48,15.54,3.86,37077594,1451818,1195442,224.97913119155552,47551.65570739516,1.79608,379.62
1993.48,15.54,3.86,37076921,1451671,1196442,224.97913119155552,47551.65570739516,1.79608,379.62
1993.48,15.55,3.88,37076938,1451583,1197385,224.971338357084,47550.0086115965,1.79608,379.62
