mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_ppm,co2_ppm
1988.05,17.35,9.04,37529551,1418221,1259947,2.2981,450.1
1988.05,17.35,9.03,37533800,1418231,1260999,2.2981,450.1
1988.05,17.37,9.02,37534586,1418304,1260645,2.2981,450.1
1988.05,17.38,9.02,37535341,1418442,1260645,2.2981,450.1
1988.05,17.39,9.01,37535341,1418546,1260645,2.2981,450.1
1982.62,17.39,9.0,37542894,1418810,1261834,2.2981,450.1
1988.05,17.41,8.99,37545109,1418747,1261834,2.2981,450.1
1988.05,17.43,8.98,37547773,1418759,1263910,2.2981,450.1
1988.05,17.43,8.98,37551950,1419140,1267405,2.2981,450.1
1993.48,17.45,8.95,37553796,1419164,1267405,2.2981,450.1
1993.48,17.46,8.94,37555920,1419072,1265149,2.2981,450.1
1993.48,17.48,8.94,37559289,1419336,1265910,2.2981,450.1
1993.48,17.48,8.94,37563282,1419418,1267414,2.2981,450.1
1998.91,17.48,8.94,37564338,1419491,1258381,2.2981,450.1
1993.48,17.51,8.94,37570073,1419542,1268745,2.2981,450.1
1998.91,17.52,8.94,37572703,1419605,1278883,2.2981,450.1
1998.91,17.54,8.94,37576818,1419605,1269878,2.2981,450.1
1998.91,17.55,8.91,37577392,1419781,1278636,2.2981,450.1
1998.91,17.55,8.9,37578110,1419831,1269989,2.2981,450.1
1998.91,17.55,8.89,37580021,1419935,1271333,2.2981,450.1
1998.91,17.57,8.89,37582513,1420035,1271911,2.2981,450.1
1998.91,17.59,8.86,37582513,1420125,1272746,2.2981,450.1
1998.91,17.59,8.82,37585676,1420208,1273225,2.2981,450.1
1998.91,17.62,8.82,37585676,1420278,1273296,2.2981,450.1
1998.91,17.64,8.79,37588553,1420458,1266829,2.2981,450.1
1998.91,17.65,8.79,37589607,1420461,1273609,2.2981,450.1
1998.91,17.66,8.74,37589033,1420499,1273609,2.2981,450.1
1993.48,17.66,8.73,37590844,1420493,1274543,2.2981,450.1
1998.91,17.68,8.72,37590938,1420458,1289543,2.2981,450.1
1998.91,17.69,8.7,37593351,1420458,1276358,2.2981,450.1
