mpx5500_pressure_hpa;rh_temp_c;humidity_pct;lpl_signal;mpl_signal;spl_signal;ch4_conc_mol_m3;co2_conc_mol_m3;ch4_ppm;co2_ppm
1977.19;15.9;9.24;37167904;1407642;1197255;285.946452916589;56004.74237751044;2.2981;450.1
1977.19;15.91;9.26;37167904;1407370;1197649;285.93656062941966;56002.80489939594;2.2981;450.1
1977.19;15.91;9.26;37169935;1407591;1188775;285.93656062941966;56002.80489939594;2.2981;450.1
1977.19;15.91;9.27;37170835;1407448;1198461;285.93656062941966;56002.80489939594;2.2981;450.1
1977.19;15.92;9.27;37172681;1407511;1194813;285.9266690266719;56000.86755533051;2.2981;450.1
1977.19;15.92;9.3;37172314;1407511;1194813;285.9266690266719;56000.86755533051;2.2981;450.1
1977.19;15.94;9.3;37172593;1407191;1205193;285.906887874157;55996.99326929119;2.2981;450.1
1977.19;15.94;9.32;37174240;1407205;1199132;285.906887874157;55996.99326929119;2.2981;450.1
1977.19;15.94;9.33;37175749;1407028;1198359;285.906887874157;55996.99326929119;2.2981;450.1
1977.19;15.95;9.33;37174287;1406786;1198359;285.8969983242479;55995.056327289494;2.2981;450.1
1993.48;15.95;9.34;37174287;1407004;1199447;287.4545120951795;56300.10699884265;2.2981;450.1
2020.64;15.96;9.35;37175990;1406769;1199447;290.0412919371719;56806.74709582746;2.2981;450.1
2009.78;15.96;9.38;37175990;1405867;1200192;289.00298533835394;56603.387015705644;2.2981;450.1
1998.91;15.98;9.38;37191941;1406987;1191073;287.9438033310569;56395.938331364494;2.2981;450.1
1993.48;15.99;9.38;37195585;1407310;1201190;287.41474526774704;56292.318369528286;2.2981;450.1
1993.48;15.99;9.38;37194233;1407094;1201190;287.41474526774704;56292.318369528286;2.2981;450.1
1988.05;15.99;9.37;37189917;1407045;1200683;286.8956458335902;56190.64887937817;2.2981;450.1
1988.05;16.0;9.36;37188827;1407045;1201984;286.8857237984585;56188.705574903695;2.2981;450.1
1993.48;16.0;9.36;37190213;1407119;1201244;287.4048052800152;56290.37154890337;2.2981;450.1
1993.48;16.01;9.36;37190719;1407130;1201244;287.39486597979106;56288.42486293197;2.2981;450.1
1993.48;16.02;9.36;37192497;1407087;1202314;287.38492736700346;56286.478311600134;2.2981;450.1
1993.48;16.02;9.36;37193766;1407126;1203315;287.38492736700346;56286.478311600134;2.2981;450.1
1993.48;16.02;9.36;37193766;1406981;1201555;287.38492736700346;56286.478311600134;2.2981;450.1
1988.05;16.03;9.36;37196393;1407105;1202871;286.8559618103751;56182.876467886446;2.2981;450.1
2026.07;16.04;9.36;37198161;1407104;1202671;290.4800661238212;56892.68428803443;2.2981;450.1
2036.93;16.04;9.39;37196172;1407104;1203268;291.5180854909646;57095.98811169366;2.2981;450.1
2031.5;16.06;9.41;37205893;1406492;1201089;290.97895208581986;56990.39481912342;2.2981;450.1
2026.07;16.06;9.41;37207742;1406699;1203925;290.4599782937929;56888.749936920154;2.2981;450.1
2020.64;16.07;9.41;37213842;1407051;1205889;289.9309795724907;56785.141597658105;2.2981;450.1
2020.64;16.07;9.41;37216335;1407281;1203750;289.9309795724907;56785.141597658105;2.2981;450.1
2004.34;16.08;9.4;37216335;1407253;1203750;288.3631859333423;56478.07753735581;2.2981;450.1
2004.34;16.08;9.4;37216335;1407519;1205257;288.3631859333423;56478.07753735581;2.2981;450.1
2004.34;16.08;9.38;37214420;1407475;1205257;288.3631859333423;56478.07753735581;2.2981;450.1
2004.34;16.09;9.38;37216565;1407423;1205437;288.35321624775486;56476.1249001847;2.2981;450.1
2004.34;16.09;9.38;37215465;1407471;1205622;288.35321624775486;56476.1249001847;2.2981;450.1
2004.34;16.09;9.38;37216644;1407575;1205464;288.35321624775486;56476.1249001847;2.2981;450.1
2004.34;16.1;9.38;37217500;1407658;1205904;288.3432472515146;56474.17239802738;2.2981;450.1
2004.34;16.11;9.4;37218245;1407556;1207056;288.3332789445502;56472.22003086988;2.2981;450.1
2004.34;16.11;9.4;37220089;1407556;1206047;288.3332789445502;56472.22003086988;2.2981;450.1
2004.34;16.12;9.43;37219627;1407322;1205461;288.3233113267902;56470.26779869817;2.2981;450.1
1998.91;16.12;9.43;37219486;1407374;1208493;287.80444517961934;56368.64399954165;2.2981;450.1
2004.34;16.13;9.43;37220223;1407577;1206063;288.31334439816305;56468.31570149828;2.2981;450.1
2004.34;16.13;9.43;37220897;1407447;1207193;288.31334439816305;56468.31570149828;2.2981;450.1
1998.91;16.14;9.43;37220897;1407447;1207322;287.7845478831225;56364.746965838494;2.2981;450.1
1998.91;16.15;9.43;37226562;1407510;1208844;287.7746002665347;56362.79865104534;2.2981;450.1
2004.34;16.15;9.43;37228360;1407471;1207432;288.2934126080214;56464.411911957905;2.2981;450.1
2004.34;16.15;9.41;37228360;1407404;1207719;288.2934126080214;56464.411911957905;2.2981;450.1
2004.34;16.15;9.43;37230454;1407299;1207437;288.2934126080214;56464.411911957905;2.2981;450.1
1998.91;16.16;9.43;37230127;1407265;1207437;287.7646533376257;56360.850470939185;2.2981;450.1
2004.34;16.16;9.43;37232252;1407450;1208600;288.2834477463641;56462.46021958945;2.2981;450.1
2004.34;16.18;9.44;37233402;1407422;1207805;288.26352008951926;56458.55723958602;2.2981;450.1
1998.91;16.18;9.44;37234680;1407332;1209063;287.74476154255865;56356.954514732024;2.2981;450.1
1998.91;16.18;9.44;37235276;1407341;1209215;287.74476154255865;56356.954514732024;2.2981;450.1
1998.91;16.19;9.44;37238140;1407341;1208417;287.734816676258;56355.00673860308;2.2981;450.1
1998.91;16.2;9.44;37239326;1407370;1210373;287.72487249735093;56353.059097105295;2.2981;450.1
1998.91;16.2;9.44;37240587;1407341;1210373;287.72487249735093;56353.059097105295;2.2981;450.1
1998.91;16.21;9.45;37242501;1407444;1212282;287.7149290057662;56351.1115902247;2.2981;450.1
1998.91;16.21;9.45;37243840;1407529;1210159;287.7149290057662;56351.1115902247;2.2981;450.1
1998.91;16.22;9.45;37245288;1407393;1211662;287.70498620143235;56349.16421794731;2.2981;450.1
1998.91;16.23;9.45;37247031;1407423;1211505;287.69504408427844;56347.216980259225;2.2981;450.1
1998.91;16.23;9.45;37248923;1407593;1211930;287.69504408427844;56347.216980259225;2.2981;450.1
1993.48;16.24;9.45;37248923;1407554;1209022;287.1664516628646;56243.68821785621;2.2981;450.1
1998.91;16.25;9.45;37253321;1407542;1212063;287.67516191122496;56343.32290859508;2.2981;450.1
1998.91;16.25;9.46;37257423;1407584;1210646;287.67516191122496;56343.32290859508;2.2981;450.1
1998.91;16.26;9.46;37257423;1407721;1204187;287.6652218551829;56341.37607459111;2.2981;450.1
1998.91;16.28;9.46;37257423;1407794;1210810;287.6453438037125;56337.482810169706;2.2981;450.1
